sample_id,question,gold_answer,model_answer,human_correct,note
33,Who was the father of the screenwriter for Badshahi Angti?,Sukumar Ray,Satyajit Ray's father was Sandip Ray.,0,
34,"What is the population of this town in Frederick County, Maryland, that is to the west of Crampton's Gap Historic District",151,Bulls Gap,0,
35,Why is the state in which A City Decides takes place known as the Show Me State?,Missourians are known for being skeptical.,the name reflects Missourians' traditional skepticism or demand for proof,1,
36,"Are both villages, Okanle and Feyzabad, Aran O Bidgol, located in the same country?",no,"No, Okanle is in Nigeria and Feyzabad, Aran o Bidgol is in Iran, so they are not in the same country.",1,
37,What is the place of birth of the performer of song 5000 Ones?,Philadelphia,"Philadelphia, Pennsylvania",1,
38,Was Woodrow Wilson sandwiched between two presidents from the opposing party?,yes,unknown,0,
39,Who scored the first goal last season for the team which Filipe Morais is a member?,Bertrand Traoré,Mickael Bex,0,
40,Was story of Jesus inspired by Egyptian myth?,yes,There is no conclusive evidence that the story of Jesus was directly inspired by the Egyptian Osiris myth.,0,
41,Did Emil Pollert (canoeist) and Carlos Tamara have the same nationality?,no,"No, Emil Pollert (Czech) and Carlos Tamara (Colombian) did not have the same nationality.",1,
42,Paper as we know it would not have been available in the continent where the mouth of Tikhaya Sosna exists until when?,the 11th century,1940,0,
43,Were items released from Pandora's box at least two of the names of Four Horsemen?,yes,"No, based on the retrieved evidence, the items released from Pandora's box (sickness, death, and many other unspecified evils) do not include at least two of the names of the Four Horsemen. The Four Horsemen are typically named War, Famine, Pestilence, and Death, and the only potential overlap is 'death', but the evidence does not confirm a second overlap.",0,
44,"Which has more species, Cheiridopsis or Dietes?",Cheiridopsis,Cheiridopsis has more species.,1,
45,Can you buy chlorine at a dollar store?,yes,Yes,1,
46,What abolished slavery throughout the nation the country that does not use filtering software gain independence from?,The Slavery Abolition Act,unknown,0,
47,Are Mountains Of The Moon University and Panjshir University both located in the same country?,no,"Panjshir University is located in Panjshir province, northern Afghanistan. Mountains of the Moon University is a public university in Uganda.",0,
48,Who is the minister for defense in the country compared to a stringed agent while the country Chopin was invited to by the person paying for Chopin's funeral was compared to a lion?,"Leo Varadkar, TD",Gavin Williamson,0,
49,When was Metropolitan University's home territory declared a US territory?,1898,"There is no available information indicating that Metropolitan University's home territory was declared a US territory, based on the retrieved documents.",0,
50,What is the date of death of the director of film The King'S Pirate?,"July 26, 2000",unknown,0,
51,Would Kelly Clarkson's voice shake glass?,yes,No,0,
52,When was the performer of song The Loco-Motion born?,"June 29, 1943","The performer of 'The Loco-Motion' is not identified in the retrieved documents, so the birth date cannot be determined from the available evidence.",0,
53,"Which film has the director born first, Dislike (Film) or A Pain In The Pullman?",A Pain In The Pullman,A Pain in the Pullman,1,
54,In what year did voters from the state of the season five contestant most successful after the show vote again for a candidate from Mayor Turner's party?,2008,2010,0,
55,What county in Washington was the Nisqually Mission established?,Pierce County,"The Nisqually Mission was a branch of the Methodist Mission, the only one established north of the Columbia River, outside Fort Nisqually in modern DuPont, Washington, United States.",0,
56,What is the date of death of the director of film Rita The American Girl?,7 September 2010,Piero Vivarelli died on 7 September 2010.,1,
57,"Are director of film Shirdi Sai and director of film Aviva, My Love from the same country?",no,"I s r a e l i d i r e c t o r S h e m i Z a r h i n , I n d i a n d i r e c t o r . R a g h a v e n d r a R a o",0,
58,Are honey badgers and hyenas anatomically dissimilar? ,no,Yes,0,
59,The Antiques Ghost Show brought on a medium who was best known for starring on what series?,Most Haunted,Most Haunted,1,
60,"What James Bond theme song was released with ""I Lie Around"" on the B-side to the single?","""Live and Let Die""",Live and Let Die,1,
61,"Garfield Peak, in the state where the Medical Center of the Rockies is located, is part of what mountain range?",Sawatch Range,Rocky Mountains,0,
62,"Which film, directed by Jim Sheridan, centers on the life of a boxer and former Provisional IRA volunteer Danny Flynn, played by Daniel Day-Lewis, who is trying to ""go straight"" after his release from prison?",The Boxer,The Boxer (1997),1,
63,When did the director of film The Son Of Dr. Jekyll die?,"April 2, 2003","April 2, 2003",1,
64,"What English actor, born May 19, 1939, starred in the 2012 film Cleanskin which was directed by Hadi Hajaig?",James Fox,Sean Bean is listed as a cast member in Cleanskin.,0,
65,Are director of film Phantom Of Death and director of film Pagliacci (1936 Film) from the same country?,no,unknown,0,
66,Is a Coca plant farm likely to be found in Yakutsk?,no,"No, a Coca plant farm is not likely to be found in Yakutsk due to the region's extremely cold climate and unsuitable conditions for Coca cultivation.",1,
67,What is the population of the US state being north of Oklahoma?,"2,913,123",population,0,
68,Barnabas Collins is a character in the serial that first aired on what date?,"June 27, 1966","Barnabas Collins first aired on Dark Shadows on October 1, 1966.",0,
69,Are both Dunrankin River and Randolph Brook located in the same country?,no,Dunrankin River is in Canada. Randolph Brook is in the United States.,0,
70,"Pandit Kishan Maharaj, was an Indian tabla player of Hindustani classical music, who belonged to which one of the six most common styles of playing of the Indian tabla? ",Benares gharānā,Benaras gharana,1,
71,Where was the place of death of the director of film Sad Pastorale?,Seoul,Seoul,1,
72,Who has been elected new president of the country where Madre Luna is produced?,Iván Duque,Joe Biden,0,
73,When was the congressman who feuded with Louie Free released from prison?,"September 2, 2009",unknown,0,
74,What is the population ranking of the state where Harrah's Casino Tunica is located?,34th,32nd,0,
75,How long has the award been given that Glynis Johns won an award for her role of Desiree Armfeldt?,1948,"The award Glynis Johns won for her role of Desiree Armfeldt was the Academy Award for Best Actress, which she received in 1950.",0,
76,Do most fans follow Katy Perry for gospel music?,no,unknown,0,
77,What is the origin of the name of the country where the municipality of Brønnøy is found?,north,"The country is Norway. The name 'Norway' comes from the Old Norse word 'Norðvegr', meaning 'north way' or 'way leading north'.",1,
78,"Which director is from Italy, Franco Zeffirelli or Nick Cassavetes?",Franco Zeffirelli,Franco Zeffirelli is Italian.,1,
79,Who is the Minister for Defense in the country where the author of The Dark Lady of the Sonnets has citizenship?,"Leo Varadkar, TD",John Winston Lennon,0,
80,What Hugh Wilson directed film did Neal Israel also work on?,Police Academy,Bachelor Party,0,
81,Did Columbus obtain his funding from the rulers of the Portugese Empire?,no,unknown,0,
82,Who is the brother of the cast member of A Good Little Devil?,Jack Pickford,Jack Pickford,1,
83,"Are both churches, Saints Peter and Paul Cathedral (Kazan) and Church of the Assumption (Uzundzhovo), located in the same country?",no,unknown,0,
84,"Because the man that was passionate about creating quality musical performance ensembles for young people, just like a Russian composer born in 1904, he founded what? ",SBS Radio and Television Youth Orchestra,The SBS Radio and Television Youth Orchestra,1,
85,Who was the spouse of the For Ever Mozart director?,Anna Karina,Anne-Marie Miéville,1,
86,"What is the birth date of the person who wrote the science fiction novel ""Cuckoo's Egg""?","September 1, 1942","September 1, 1942",1,
87,Would James Cotton's instrument be too strident for a smooth jazz band?,yes,"James Cotton's harmonica playing is likely too strident for a smooth jazz band, as smooth jazz emphasizes softer, more melodic instruments and a laid-back sound, whereas Cotton's blues harmonica work can be more percussive and intense.",0,
88,Does Ahura Mazda have a rivalry with Zeus?,no,unknown,0,
89,Can a Reconstruction era coin buy DJI Mavic Pro Drone?,yes,"Based on the retrieved documents, the DJI Mavic Pro drone was released in late 2016 and was one of the first personalized drones, capable of capturing 4K video. However, no document provides the value of a Reconstruction era coin (1863-1877) or a specific price for the Mavic Pro. Therefore, it is not possible to determine whether a Reconstruction era coin could buy a DJI Mavic Pro Drone from the available evidence.",0,
90,"What Second World War paramilitary installation was used in a television series that takes place during World War II, and follows five recruits as they are trained as agents?",Camp X,Camp X,1,
91,Are director of film The Lafarge Case and director of film Aama (Film) from the same country?,no,Pierre Chenal was French Hira Singh Khatri is Nepali,0,
92,Who was president when the region where Alden Bridge is found became a state?,President James K. Polk,James K. Polk,1,
93,What is the French name of the bay into which the Big Salon River flows?,Baie de Fundy,Baie de Fundy,1,
94,Do director of film Goat (2016 Film) and director of film The Fever (2004 Film) share the same nationality?,no,no,1,
95,"""Mucho gusto"" is an instrumental piece originally recorded by a composer born in which year ?",1908,1908,1,
96,What was the currency of the country Juhani Komulainen is from before the Euro?,The Finnish markka,Finnish markka,1,
97,Is B's place in alphabet same as Prince Harry's birth order?,yes,no,0,
98,Who composed the national anthem for Sanath Nandasiri's country of origin?,Ananda Samarakoon,Ananda Samarakoon,1,
99,When did the birthplace of Ganju Lama become an Indian state?,the 36th Amendment,1975,0,
100,When was the country having Aguadulce colonized by the country containing All Saints Church in the city having terrorist bombing supposedly involving Gaddafi's Libya?,1698,1986,0,
101,Can a single honey bee sting multiple humans?,no,"Yes, a single honey bee can sting multiple humans if it survives the initial sting, as the barbed stinger detaches and allows continued venom delivery.",0,
102,Can olive oil kill rabies?,no,"No, there is no evidence that olive oil can kill rabies. Rabies is treated with vaccination and post-exposure prophylaxis; olive oil is a food product and has no antiviral effect against rabies.",1,
103,"Who is Afonso Of Portugal, Lord Of Portalegre's paternal grandmother?",Urraca of Castile,Violante Manuel,0,
104,What was depicted on banners of people from the group accused of starting the Great Fire of 64 AD during the First Crusade?,a red cross on a white field,"Based on the available documents, there is no evidence that a specific group accused of starting the Great Fire of 64 AD during the First Crusade had banners with depicted imagery. The historical record primarily associates the fire with Emperor Nero blaming Christians, and no detailed descriptions of banners or symbols linked to such a group are provided in the retrieved sources.",0,
105,Can lettuce result in spontaneous abortion?,yes,"Based on the retrieved documents, there is no direct evidence that lettuce results in spontaneous abortion. The document on Lettuce notes that contaminated lettuce can be a source of bacterial, viral, and parasitic outbreaks, including E. coli and Salmonella, but it does not mention spontaneous abortion as a consequence. Therefore, the available evidence does not support a direct link between lettuce consumption and spontaneous abortion.",0,
106,When did the island and US territory that the creature can be found in become an American territory?,1898,unknown,0,
107,Did Hamlet's author use email?,no,unknown,0,
108,Are the directors of both films Tarzan the Tiger and The Monster of Frankenstein (film) from the same country?,no,unknown,0,
109,Are Prakanongpittayalai School and International School Of Koje located in the same country?,no,"No, Prakanongpittayalai School is in Thailand and International School of Koje is in South Korea.",1,
110,Paper as we know it would not have been available in the continent where the mouth of Tikhaya Sosna exists until when?,the 11th century,unknown,0,
111,"Which Oscar- and Emmy-nominated English actor starred in the 1982 British romantic adventure film ""The Scarlet Pimpernel""?",Ian McKellen,Anthony Andrews,0,
112,"William Eubank is a film director, screenwriter, and cinematographer who made three feature films, one of which was co-written by Carlyle Eubank and who else?",David Frigerio,David Frigerio,1,
113,What is the date of death of the director of film The King'S Pirate?,"July 26, 2000",1976,0,
114,Who is the father of the director of film Moabite Notebook?,Aleksandr Faintsimmer,unknown,0,
115,"The Canadian Military is known for this action in the country where the performer of ""The Following Morning"" is from.",the strategic bombing of German cities,The Canadian Military's action in Germany is the occupation of Germany after World War II.,0,
116,What is the capital of Mexico in the language spoken in the land near the worm's first known location?,Ciudad de México,Ciudad de México,1,
117,"What fragrance was created by the singer of Beautiful, Dirty, Rich?",Lady Gaga Fame,unknown,0,
118,In what year did Philip Shabecoff's employer start?,1851,Insufficient evidence to determine the year Philip Shabecoff's employer started.,0,
119,Can the theory of cultural hegemony explain global warming?,no,"Based on the retrieved documents, there is no direct evidence that the theory of cultural hegemony explains global warming. The documents separately define cultural hegemony as the domination of a culturally diverse society by a ruling class that manipulates beliefs and values (doc5), and they describe global warming as a scientific phenomenon driven by human activities increasing greenhouse gases (doc10). No retrieved source connects these concepts or argues that cultural hegemony explains global warming. Therefore, the available evidence does not support that the theory of cultural hegemony can explain global warming.",0,
120,Is Batman (1989 film) likely to be shown on flight from NY to Kansas City?,yes,unlikely,0,
121,"Which game allows more players, Scattergories or Mastermind? ",Scattergories,unknown,0,
122,Do director of film The Road Home (1999 Film) and director of film Challenge Of The Range share the same nationality?,no,n a t i o n a l i t y o f Z h a n g Y i m o u a n d R a y N a z a r r o,0,
123," The 2008 Hall of Fame Tennis Championships, (also known as the ""Campbell's Hall of Fame Tennis Championships"" for sponsorship reasons), was a men's tennis tournament played on outdoor grass courts, the Campbell Soup Company, also known as Campbell's, is an American producer of canned soups and related products, it is headquartered in Camden, in which US state?",New Jersey,New Jersey,1,
124,Who is a cast member in the work David Brandner is present in?,Valerie Niehaus,Sven Koller,0,
125,John Wayne and Micheal Tucker worked with what famous american singer for the Album Joanne?,Lady Gaga,Lady Gaga,1,
126,How close is Wrigley Field to the lake supplying drinking water to the birth city of The Adventurer's performer?,less than a mile to the east,"Based on the retrieved documents, I cannot definitively identify the performer of 'The Adventurer' or the lake supplying drinking water to their birth city. However, one document mentions that Chicago's water cribs supply drinking water from Lake Michigan, and Wrigley Field is located in Chicago. If the performer's birth city is Chicago, then the lake supplying drinking water is Lake Michigan, and Wrigley Field is directly adjacent to it (approximately 0 miles from the lake's shoreline). If the performer is Charlie Chaplin (born in London), the lake supplying London's drinking water is not specified in the retrieved documents, so the distance cannot be determined from the evidence.",0,
127,"Who is current coach of the Hawkeyes at Iowa University, and a former NFL assistant coach?",Kirk Ferentz,Tom Fears,0,
128,Are Donkeys part of Christmas celebrations?,yes,"Yes, donkeys are part of Christmas celebrations, as they typically appear in nativity scenes.",1,
129,Is Freya a combination of Athena and Aphrodite?,yes,No,0,
130,"""Yakety Sax"" composer Boots Randolph was part of what musical style group during most of his professional career?","the ""Nashville sound""",jazz,0,
131,Will Lhamo Thondup be considered by Catholic Church to be a saint?,no,unknown,0,
132,Does Masaharu Morimoto rely on glutamic acid?,yes,unknown,0,
133,On what continent is the city Văn Tiến Dũng was born in found?,Asia,Asia,1,
134,who is the current prime minister of the place of birth of the mother of Uday Hussein?,Haider al - Abadi,The current prime minister cannot be determined from the retrieved documents because the birthplace of Uday Hussein's mother (Sajida Talfah) is not stated in the available evidence.,0,
135,Is Ganymede in the Milky Way galaxy?,yes,"Yes, Ganymede is in the Milky Way galaxy.",1,
136,Which country the director of film Three Girls About Town is from?,American,unknown,0,
137,"Are Healey, Ossett and Saqsolu located in the same country?",no,"No, Healey, Ossett, and Saqsolu are not located in the same country; Healey is in England while Saqsolu is in Iran.",1,
138,Will Communion be denied to Wednesday name origin followers?,yes,unknown,0,
139,Would a Deacon be likely to be a fan of the podcast 'God Awful Movies'?,no,No,1,
140,What kind of technique was used by the composer of the Lyric Suite?,twelve-tone technique,twelve-tone technique,1,
141,"On August 20, 2020,  does The Tonight Show Starring Jimmy Fallon air after moonset EST?",yes,yes,1,
142,Is Disney associated with Los Angeles County?,yes,"Yes, Disney is associated with Los Angeles County, as its studios were originally based in Los Angeles and later relocated to Burbank, a city within the county.",1,
143,Does the cuisine of Hawaii embrace foods considered gross in the continental US?,yes,"Yes, Hawaiian cuisine embraces foods considered gross in the continental US, such as Spam, which is popular in Hawaii and often referred to locally with affectionate nicknames.",1,
144,Did Jan Peters (Footballer) and James A. Schoenberger share the same nationality?,no,"Based on the retrieved evidence, Jan Peters (footballer) is from the Netherlands (Dutch nationality). The document for James A. Schoenberger describes him as a Chicago cardiologist but does not explicitly state his nationality. Therefore, based on the available evidence, they do not share the same nationality, but this conclusion is limited by the lack of explicit nationality information for James A. Schoenberger.",1,
145,Were items released from Pandora's box at least two of the names of Four Horsemen?,yes,unknown,0,
146,what english actor was best known for his role as Giles French and a detective series Checkmate?,Sebastian Cabot,Sebastian Cabot,1,
147,Chillicothe Correctional Institution has housed the serial killer known by what nickname?,Cleveland Strangler,"Based on the retrieved documents, the serial killer housed at Chillicothe Correctional Institution is not explicitly identified. The only serial killer mentioned in the search results is Anthony Sowell, known as the Cleveland Strangler, but the documents do not confirm he was housed at Chillicothe Correctional Institution. Therefore, I cannot provide a definitive nickname from the available evidence.",,
148,For which college football team did both Baker Mayfield and Trevor Knight play starting quarterback?,Oklahoma Sooners,Oklahoma Sooners,1,
149,Are 45 Broad Street and Trump World Tower both located in Manhattan?,yes,"Yes, both 45 Broad Street and Trump World Tower are located in Manhattan.",1,
150,When did the composer of film Sri Rama Pattabhishekam die?,31 August 1984,1969,0,
151,"What is the date of birth of Baldwin Of Ibelin, Seneschal Of Cyprus's mother?",1177,unknown,0,
152,Where does the Merrimack River start in the state in which the city where A City Decides takes place is located on the map?,near Salem,Pawtucket,0,
153,Do carpenters understand geometry?,yes,Yes,1,
154,The Frankenstadion and Max-Morlock-Stadion are located in which German city?,"Nuremberg, Germany","Max-Morlock-Stadion is located in Nuremberg, Germany.",1,
155,Would an owl monkey enjoy a strawberry?,yes,"Yes, an owl monkey would likely enjoy a strawberry, as they are frugivorous and consume fruits similar to strawberries.",1,
156,What is the date of death of the director of film Cuando Calienta El Sol (Film)?,"October 12, 1998","October 12, 1998",1,
157,Edwin Brockholst Livingston was related to the lawyer known by what nickname?,The Chancellor,the king of torts,0,
158,Can a martyr saint have been excommunicated?,yes,"Yes, a martyr saint can have been excommunicated; for example, Joan of Arc was excommunicated by an ecclesiastical court before being declared innocent and later canonized.",1,
159,"Between the movies Rob Roy, the Highland Rogue or The Story of Robin Hood and His Merrie Men, which year was the first one produced?",1952,1952,1,
160,"Which film was released more recently, Road To Victory or Rise Of The Planet Of The Apes?",Rise Of The Planet Of The Apes,Rise of the Planet of the Apes was released in 2011. Road To Victory was released in 1944.,,
161,What national park contains Geology that shapes the Pacific Northwest region of the United Stated and Canada?,Lassen Volcanic National Park,"Based on the retrieved documents, the national park most directly associated with geology shaping the Pacific Northwest is Lassen Volcanic National Park, as its geology records volcanic activity in the region. However, the primary document 'Geology of the Pacific Northwest' does not explicitly name a national park, so this answer is inferred from the Lassen volcanic area document.",1,
162,Which country the director of film Treehouse Hostage is from?,American,United States,1,
163,"Which magazine was published first, The Black Dwarf or Review Of World Economics?",The Black Dwarf,unknown,0,
164,What is the most common source of electricity in the province where Manex Arena is located?,Manitoba Hydro,The most common source of electricity in Manitoba is hydroelectric power.,1,
165,"What tv show starred both actor, writer and presenter Brian Blessed and Gary Watson as Aramis?",The Three Musketeers,Three Musketeers,1,
166,What do the New Hampshire State Police patrol that is approximately 17029 miles in length?,New Hampshire Highway System,"The New Hampshire State Police patrol an area of approximately 17029 miles, which corresponds to the length of the New Hampshire Highway System maintained by the New Hampshire Department of Transportation (NHDOT).",1,
167,Are director of film Quick Millions (1931 Film) and director of film You'Ve Got Mail from the same country?,yes,"Yes, both directors are from the same country (United States).",1,
168,What former Australian rules footballer finished runner up in the 2005 AFL season?,Daniel Kerr,unknown,0,
169,The Four-Inch Course name was derived from regulations adopoted by a British private club which formerly owned what kind of company?,automotive services company,automotive services company,1,
170,"Which film was released earlier, Sunstroke At The Beach Resort or Just In Time (Film)?",Sunstroke At The Beach Resort,Sunstroke At The Beach Resort was released earlier.,1,
171,"Which film based on the 1991 novel ""The Feather Men"" starred Matthew Nable?",Killer Elite,"Matthew Nable did not star in Killer Elite (2011), the film based on the 1991 novel 'The Feather Men'.",1,
172,Where does the Merrimack River start in the state in which the city where A City Decides takes place is located on the map?,near Salem,New Hampshire,0,
173,How was the performer of He Could Be the One when she started hannah montana?,eleven years old,"Miley Cyrus, performing as Hannah Montana (the alter ego of Miley Stewart), was the performer of 'He Could Be the One' when she started Hannah Montana.",0,
174,"When did Italy enter the war that involved Albert I, of the country where Antwerp is located?",1915,1915,1,
175,What abolished slavery throughout the nation the country that does not use filtering software gain independence from?,The Slavery Abolition Act,Unable to determine from retrieved evidence. The question is ambiguous and the retrieved documents do not identify a country that does not use filtering software nor the specific abolition measure.,0,
176,Could B be mistaken for an Arabic numeral?,yes,"No, B cannot be mistaken for an Arabic numeral. Arabic numerals are the ten digits 0-9, and B is the second letter of the Latin-script alphabet, not a digit.",0,
177,Were both Jean-Pierre Jeunet and Anthony Kimmins screenwriters?,yes,"Yes, both Jean-Pierre Jeunet and Anthony Kimmins were screenwriters.",1,
178,When did the head of government of Albania officially mandate his 9th Cabinet?,September 2017,The 9th Cabinet of Albania was officially mandated by the President in September 2017.,1,
179,Are Guadarrama National Park and Teide National Park both in the Spanish mainland?,no,"No, Guadarrama National Park and Teide National Park are not both in the Spanish mainland. Teide National Park is located in Tenerife, Canary Islands, Spain, which is not part of the Spanish mainland.",1,
180,Did Hamlet's author use email?,no,"No, Hamlet's author (William Shakespeare) did not use email, as email was not invented until the 1960s, long after his death in 1616.",1,
181,Are peaches best eaten when firm?,no,Yes,0,
182,Who was the head coach on the losing team of the first Sugar Bowl to be broadcast on television?,Johnny Vaught,Bobby Dodd,0,
183,BondMason is a company based in what town in the St Albans City district of Hertfordshire?,Harpenden,Harpenden,1,
184,The Four-Inch Course name was derived from regulations adopoted by a British private club which formerly owned what kind of company?,automotive services company,"The Four-Inch Course name was derived from regulations adopted by the Royal Automobile Club, which formerly owned an automotive services company.",1,
185,Do Alfred Janes and Gareth Davies (Director) share the same nationality?,no,"Yes, Alfred Janes and Gareth Davies (Director) share the same nationality: both are British (Alfred Janes is Welsh, which is British).",0,
186,Who was the first leader of the independent country Lubondai is located in?,Fulbert Youlou,Fulbert Youlou,1,
187,How many podiums has the driver who placed third in the 1999 San Marino Grand Prix scored?,68,3,0,
188,Would Carrie Poppy be likely to trust a psychic?,no,"Based on the evidence, Carrie Poppy would likely NOT trust a psychic. She co-hosts the investigative journalism podcast 'Oh No, Ross and Carrie!' which investigates claims about spirituality, fringe science, religion, and the paranormal, and rates pseudoscience. Her work is associated with the James Randi Educational Foundation and the Center for Inquiry, both known for scientific skepticism. This pattern of investigative and skeptical engagement suggests she would approach psychics with doubt rather than trust.",,
189,Where did the director of film There'S Always Tomorrow (1934 Film) die?,"Woodland Hills, California",The director of the 1934 film There's Always Tomorrow is Edward Sloman.,0,
190,Are director of film The Lafarge Case and director of film Aama (Film) from the same country?,no,no,1,
191,When did the country in whose capitol Season 11 of Property Brothers was filmed officially vote to secede?,"June 8, 1861",unknown,0,
192,When did the country whose cars became highly sought after as they were more fuel efficient give up trying to recapture Henderson Field?,February 1943,December 1942,0,
193,Is Mickey Mouse hypothetically unlikely to make a purchase at Zazzle?,yes,"Mickey Mouse hypothetically unlikely to make a purchase at Zazzle due to being a fictional character without financial capability, while Zazzle requires real buyers with payment methods.",0,
194,"How many of the people whose name was once used as a term for new students at Eton, live in the country where Santíssimo is located?","196,000-600,000",0,0,
195,Bernadette Flynn was a dancer in the style that took its influence from what French style?,quadrilles,French ballet,0,
196,Do Do It Yourself channels online always show realistic projects?,no,unknown,0,
197,Can a snow leopard swim?,yes,"Yes, snow leopards can swim.",1,
198,Can you find Bob Marley's face in most smoke shops?,yes,"Based on the retrieved documents, there is no evidence to support the claim that Bob Marley's face can be found in most smoke shops. The search results include general information about smoke shops and Bob Marley, but none mention his image being displayed in such establishments.",0,
199,Shakuntala is a play by what Classical Sanskrit writer?,Kālidāsa,Kalidasa,1,
